member,bytes,sha256,extracted
Consultry_Handover_Paket_2026-08-26/91_Werkzeuge_Playwright/colorcheck.js,862,b10a544c70ad0ba47b87417021256170a0a171154af14630ee4b806f893a7f19,
Consultry_Handover_Paket_2026-08-26/04_LinkedIn/Consultry_LinkedIn_Masterplan.md,9227,d0d4e34f532273b28576b9392d52ef5b55e5076b48293b6ddb99ce5d45c9cb97,
Consultry_Handover_Paket_2026-08-26/04_LinkedIn/Consultry_LinkedIn_Engagement_Playbook.md,7803,e1dda5e75626d4fc23923f97e82ee669f8000506bf7e5f99cbccc960baafe721,
Consultry_Handover_Paket_2026-08-26/04_LinkedIn/Consultry_LinkedIn_Woche1.md,5470,268d0c5dd60edb063a2ccf0849aa091f854f11eaf9cef4a3f3d1ae676a5fad9b,
Consultry_Handover_Paket_2026-08-26/04_LinkedIn/Consultry_LinkedIn_Hub.html,38838,d6143851572147a7f19361d2923726c8c4723bf4245925e8acf61e1c9205df1e,
Consultry_Handover_Paket_2026-08-26/04_LinkedIn/Consultry_LinkedIn_Posts_W2-6.md,14945,e8434ccc8fb0e8b7b0ff3b07c2987d0a0eaf404bd351f6f980250884edb4fdf9,
Consultry_Handover_Paket_2026-08-26/04_LinkedIn/Consultry_LinkedIn_Woche1_Julian.md,5834,8c04e422a2500cafc245279d81768ed5cadf9cd7f2b4ec4cdeeb47c203995fb2,
Consultry_Handover_Paket_2026-08-26/90_Records_Archiv/v8_extract.txt,20326,45cd3b1b2024b5e6c89010a3bc955a8e835c54c552d3b84b99bd0092ac5a9a14,
Consultry_Handover_Paket_2026-08-26/90_Records_Archiv/geprueft_keine_quelle/ppt_dump.md,1921,b599d7a93503854d582374f1e83042ee2751fa9108cc86b092a614c3aa27b2e5,
Consultry_Handover_Paket_2026-08-26/90_Records_Archiv/geprueft_keine_quelle/Beautiful_Autosaved.pptx,3935977,1cfdf08fdd2a2312a2354b016091def0663d3ed397ee1be49cb9c6104d728cee,
Consultry_Handover_Paket_2026-08-26/90_Records_Archiv/Consultry_Pitch_Deep_Report.pdf,14589,086ab857c12a5744b262e29994b55bc5aeda2324321e80d479e1f5575eac4a30,
Consultry_Handover_Paket_2026-08-26/90_Records_Archiv/Consultry_Handover_Pitch.md,7864,63ca9300da049a1994490670c30d2701e51ed859a73e0f925df394c47a4a74fc,
Consultry_Handover_Paket_2026-08-26/90_Records_Archiv/transkript_roh.txt,33557,f99ca940cba6fd5d9f88a723ebbdf078e8860767dd54d192fe68522ce9b334a9,
Consultry_Handover_Paket_2026-08-26/90_Records_Archiv/Consultry_Deck_Review.md,19474,94da0c0b8df7b7e07442cbc1462575f7a29ffb30bf8f42bfdaed76dcc4d1ce17,
Consultry_Handover_Paket_2026-08-26/90_Records_Archiv/Consultry_Pitch_Rohtranskript.txt,33746,5a54af39004c1fbb35db93b5e54cab72d89564466990ee297067fcccf1a58047,
Consultry_Handover_Paket_2026-08-26/90_Records_Archiv/Consultry_Pitch_Highlight_Report.pdf,15228,cd522e33f2168fe0b28fc1429c92bcf04ff9e9cb7b414300d6b7dfac9db551e9,
Consultry_Handover_Paket_2026-08-26/90_Records_Archiv/Consultry_Pitch_Transkript.pdf,19892,a61b81908499a0f5daa59d529a12b387d4950501ad88ea3d95bc2fc3f9822870,
Consultry_Handover_Paket_2026-08-26/90_Records_Archiv/v8_cover_raw.html,4765,dffeb197971c1297eac039d2e29079a2823849f472f919d5bb33aef35c9cc9a4,
Consultry_Handover_Paket_2026-08-26/90_Records_Archiv/deck_notes_v10.txt,30001,398d16d53f4597eaa7f60bafcd9d98b1c508a9ab654e35f1a1dea4df6178559f,
Consultry_Handover_Paket_2026-08-26/90_Records_Archiv/deck_text_v10.txt,13129,4c5121c124e320811542005bf6ced0f6c1622903d6d0fd9aa65ad6c5f6972f62,
Consultry_Handover_Paket_2026-08-26/01_Deck_fuehrend/Consultry_Pitchdeck_v10.html,855916,4a84b76ccea0c5153701dd9ba35730a6c013a9ec91d1fdab15922176a432f136,archive/handover-2026-08-26/01_Deck_fuehrend/Consultry_Pitchdeck_v10.html
Consultry_Handover_Paket_2026-08-26/01_Deck_fuehrend/deck_text_aktuell.txt,13690,2b4d7e30f8435b4bc6a1041ceaeba7bcd8c9c7db9470f3292fafc0c28b0ee151,archive/handover-2026-08-26/01_Deck_fuehrend/deck_text_aktuell.txt
Consultry_Handover_Paket_2026-08-26/01_Deck_fuehrend/deck_notes_v10_neu.txt,27612,d0a16788f86eb2fb7b7d9bb3b30510175cce8b2a7df18e846e7f84d7b7eeedbc,archive/handover-2026-08-26/01_Deck_fuehrend/deck_notes_v10_neu.txt
